day,configuration,students,average_counselling_wait_minutes,average_registration_wait_minutes,average_approval_wait_minutes,average_total_wait_minutes,average_whole_process_minutes,maximum_registration_queue,maximum_approval_queue,registration_utilization_percent,approval_utilization_percent,completed_by_4_30pm_percent
1,Base system: one officer at registration,5,0.0,1.0539999999999998,0.0,1.0539999999999998,29.642,2,1,17.281376260546647,13.68764971365248,100.0
2,Base system: one officer at registration,5,0.0,0.0,0.0,0.0,28.34,1,1,17.54371614221854,13.300473314605632,100.0
3,Base system: one officer at registration,13,0.0,6.5284615384615385,0.050769230769230775,6.57923076923077,35.223846153846154,3,2,44.75697249292602,35.71310601730857,100.0
4,Base system: one officer at registration,24,0.0,13.97125,0.11875,14.09,41.58375,5,2,77.04659171285442,65.88709215180579,79.16666666666666
5,Base system: one officer at registration,20,0.0,20.305,0.125,20.43,49.1545,5,2,66.70131093291603,57.495032690349014,95.0
6,Base system: one officer at registration,24,0.016666666666666666,24.6375,0.057916666666666665,24.712083333333332,52.96666666666667,7,2,80.94061232859731,65.9520484467383,91.66666666666666
7,Base system: one officer at registration,28,0.0010714285714285715,26.76107142857143,0.24785714285714286,27.01,55.611785714285716,6,2,93.7011336304533,79.70686754691421,89.28571428571429
